子文件夹路径	第一行	第二行	第三行	第四行
G:\GitHub\report-images\report-images\41.Elings 和 Voogt - PERFORMANCE OF THE INTKAM MODEL FOR GREENHOUSE CRO	# PERFORMANCE OF THE INTKAM MODEL FOR GREENHOUSE CROP TRANSPIRATION		Anne Elings1, Wim Voogt2	
G:\GitHub\report-images\report-images\41_3_135_ocr	# Effects of humidity on tomato (Lycopersicon Esculentum cv. Truss) water uptake， yield， and dehumidification cost		M.TRIGUI',S.F.BARRINGTON'andL.GAUTHIER²	
G:\GitHub\report-images\report-images\42.Raaphorst 等 - Biologische en overige grondgebonden teelten in ee	# Biologische en overige grondgebonden teelten in een (semi) gesloten kas		$\circledcirc$ 2005 Wageningen, Praktijkonderzoek Plant & Omgeving B.V.	Alle rechten voorbehouden. Niets uit deze uitgave mag worden verveelvoudigd, opgeslagen in een geautomatiseerd gegevensbestand, of openbaar gemaakt, in enige vorm of op enige wijze, hetzij elektronisch, mechanisch, door fotokopieën, opnamen of enige andere manier zonder voorafgaande schriftelijke toestemming van Praktijkonderzoek Plant & Omgeving.
G:\GitHub\report-images\report-images\43.Stanghellini 等 - Condensatie tegen het kasdek	# Condensatie tegen het kasdek		Licht- en energie-effecten van condensatie op acht kasdekmaterialen	
G:\GitHub\report-images\report-images\44.Tuinbouw 和 Pasteurlaan - Dit project is gefinancierd door	# Bladplukken in tomaat		Is meerproductie mogelijk door efficiëntere lichtbenutting?	
G:\GitHub\report-images\report-images\45.94927	# Beschrijving module OSmanSoil		Een eenvoudig bodemmodel voor de beschrijving van waterbeweging, convectief stikstoftransport, water- en stikstofopname, denitrificatie, nitrificatie en mineralisatie.	
G:\GitHub\report-images\report-images\46.120165	# Flexibele meerdaagse temperatuurinstelling op basis van de assimilatenbalans van het gewas		Anne Elings, Feije de Zwart, Jan Janse, Fokke Buwalda & Leo Marcelis	
G:\GitHub\report-images\report-images\47.Dueck et al_2010_Lichtbenutting van tomaat onder LED en SON-T belichting	"# %'	'("			"% )#\*'	'("
G:\GitHub\report-images\report-images\48.Raaphorst 等 - Evaluatie systeemontwerpen voor ontvochtigen	# Evaluatie systeemontwerpen voor ontvochtigen en energievoorziening		M.G.M. Raaphorst (PPO) M.N.A. Ruijs (PPO/LEI) J.K. Nienhuis (PPO/LEI) N.J. van de Braak (IMAG) H.F. de Zwart (IMAG) G.G. Schoonderbeek (Ecofys) E.M.B. Heller (Ecofys) J.J.G. Opdam (Ecofys)	
G:\GitHub\report-images\report-images\49.van Os 等 - Mobysant Energie-aspecten	# Mobysant Energie-aspecten		Naar $30\%$ energiebesparing per eenheid product	
G:\GitHub\report-images\report-images\490471374	# Einsatz von Nutzlingskombinationen gegen Blattlause und Thripse im Gemüsebau unter Glas		Von der Naturwissenschaftlichen Fakultat der Universitat Hannover zur Erlangung des Grades eines	
G:\GitHub\report-images\report-images\5.WUR GTB Gewasgezondheid Bodem en Water 等 - 2022 - Inventarisatie van een mogelijke nieuwebron voor koolzuurgas (CO2)	![](images/1ef0a46de16d0a2412e116454bd340a71583ed1bab3d90687c190df75e8f1d93.jpg)		# bron voor koolzuurgas (CO )	
G:\GitHub\report-images\report-images\50.Breugel et al_2021_With low emission to high transmission	![](images/4b903d81686a5924659ebd79dd9f78ddb3226f217b29ca87a6f9c6648fe9ac16.jpg)		# With Low Emission to High Transmission	
G:\GitHub\report-images\report-images\509301665	# Management of Sweetpotato Whitefly Bemisia tabaci Gennadius (Homoptera: Aleyrodidae) on tomato using biorational pesticides (Neem, Abamectin and Spinosad) and UV-absorbing nets and films as greenhouse cover in the humid tropics		Von der Naturwissenschaftlichen Fakultat der Universitat Hannover zur Erlangung des Grades	
G:\GitHub\report-images\report-images\509467083	# Evaluation of net greenhouses for tomato production in the tropics		Der Naturwissenschaftlichen Fakultat	Der Universitat Hannover
G:\GitHub\report-images\report-images\51.de Zwart - Chinese – Dutch cooperation on the Chinese Solar G	![](images/a81c02a1432dc5ec13f5bc9f5514364efa5c5b24356f931e6ff2fc843bd5c12c.jpg)		# Chinese – Dutch cooperation on the Chinese Solar Greenhouse experiment in Shouguang	
G:\GitHub\report-images\report-images\52.de Zwart 和 García - Energie-extensieve teelten klimaatneutraal met hoo	![](images/ed5a519cec3c30994594b4bd1c4bfae7f7bd1c58382623bc3d95d357d8fb3265.jpg)		# Energie-extensieve teelten klimaatneutraal met hoog-isolerende kassen	
G:\GitHub\report-images\report-images\521915155	# Marco Kawollek		# Modellbasierte Robotersteuerung zur gartenbaulichen Pflanzenproduktion auf der Grundlage bildanalytischer Verfahren am Beispiel von Gerbera jamesonii	
G:\GitHub\report-images\report-images\53.de Zwart 和 Ruijs - Biomassa voor de energievoorziening van tuinbouwcl	![](images/c9d11418fb22aaebc6758939f5bfa2dd1e058c5d33853ffc1a56701fcca9e7c0.jpg)		# Biomassa voor de energievoorziening van tuinbouwclusters	
G:\GitHub\report-images\report-images\54.Raaphorst et al_2018_De perfecte chrysant teelt 1-4	![](images/499843d8322141927c2b06807858f64e6b34c250f5acbbf215a94273738f2f7d.jpg)		# De Perfecte Chrysant teelt 1-4	
G:\GitHub\report-images\report-images\55.Vanthoor_Zwart_2017_Verwarming van de glastuinbouw in een post-fossiele energie infrastructuur	![](images/f5bc4e732ae822384da3d6d9aa38588a63c50ba566fb1b12ffd69b8a7aff6a3b.jpg)		# Verwarming van de glastuinbouw in een post-fossiele energie infrastructuur	
G:\GitHub\report-images\report-images\553815814	Urbanus N. Mutwiwa		# Effects of Different Cooling Methods on Microclimate and Plant Growth in Greenhouses in the Tropics	
G:\GitHub\report-images\report-images\56.Victoria et al_2017_Systeemstap naar minimaal energieverbruik Alstroemeria	![](images/390648c13f68f1ca069426255ac62dadb641fded440648e350f4a9428480edf3.jpg)		# Systeemstap naar minimaal energieverbruik Alstroemeria	
G:\GitHub\report-images\report-images\57.WUR GTB Tuinbouw Technologie 等 - 2016 - Vochtbeheersing in kassen en terugwinning van late	![](images/e903354b2c176cb81cd9336aea897735255cd4b34e2aeb459cb07619f7bd4ee6.jpg)		# Vochtbeheersing in kassen en terugwinning van latente energie	
G:\GitHub\report-images\report-images\58.WUR GTB Tuinbouw Technologie 等 - 2017 - Energy saving screen materials  measurement metho	![](images/9eaaf0d1e0965a9a58a830517391730291cd0da9722f1f3ece672915fe9f8d0b.jpg)		# Energy saving screen materials	
G:\GitHub\report-images\report-images\588733	![](images/c758f746761c226b77a578918fefc6d1ce579d07e346115f02c534a2bbe0c3d7.jpg)		# Komkommer in de Winterlichtkas; zomerteelt 2021	
G:\GitHub\report-images\report-images\59.WUR GTB Tuinbouw Technologie 等 - 2022 - Gewasverdamping en koptemperatuur	![](images/604fc57ea426118c6accd455853f48c8a8e9fde74fe68a62d721d6e929e9d00e.jpg)		# Gewasverdamping en koptemperatuur	
G:\GitHub\report-images\report-images\6.WUR GTB Tuinbouw Technologie 等 - 2022 - Methodiekontwikkeling schadegrensbepaling reinigings- en ontsmettingsmiddelen	![](images/28e4cab3b006354943612437ad28620b67fd8ba59c77521002f10e0307f2610d.jpg)		# Methodiekontwikkeling schadegrensbepaling reinigings- en ontsmettingsmiddelen	
G:\GitHub\report-images\report-images\60.Zwart et al_2017_Paprikateelt in de hooggeïsoleerde VenLow Energy kas	![](images/7ff6b2ccee668969e5ac1fa25f5b75f86848a50121420c2f0d6d87c65b283d59.jpg)		# Paprikateelt in de hooggeïsoleerde VenLow Energy kas	
G:\GitHub\report-images\report-images\61.Zwart et al_2017_Verdamping bij de kop	![](images/bdaa73673ff5755d76df505a4c988bfccd342213d5a2540a44a7d77adfd68bb0.jpg)		# Verdamping bij de kop	
G:\GitHub\report-images\report-images\62.Zwart et al_2019_Tuinbouw zonder fossiele energie	![](images/49bffb58839e22ae163d20931d7a2016e70e54815fe659ed707150b96fdbb244.jpg)		# Tuinbouw zonder fossiele energie	
G:\GitHub\report-images\report-images\63.Zwart_2018_Tomaten telen in een Chinese muurkas, in Nederland en in China	![](images/b4b557b7f886892825acbf7ac90025c78e7125292590afd32c63598de851693f.jpg)		# Tomaten telen in een Chinese Muurkas, in Nederland en in China	
G:\GitHub\report-images\report-images\64.Zwart_Raaphorst_2017_Intensief schermen & energiezuinig ontvochtigen met Het Nieuwe Telen in	![](images/742d4abc28ab7a86e4d77b7c4c73a176abeaf8717a42e62a3d258257c8ca09ee.jpg)		# Intensief schermen & energiezuinig ontvochtigen met Het Nieuwe Telen in komkommer	
G:\GitHub\report-images\report-images\65.Zwart_Raaphorst_2017_Monitoring Energiebesparing door Het Nieuwe Telen en Energie-innovaties	![](images/c3f24b2561baeb83485c81e6b7c253c564feca11067856f91b2dc0d9b0182ee2.jpg)		# Monitoring Energiebesparing door Het Nieuwe Telen en Energie-innovaties	
G:\GitHub\report-images\report-images\650540	# A 3D functional plant modelling framework for agricultural digital twins		Christos Mitsanis \*, William Hurst \*, Bedir Tekinerdogan	
G:\GitHub\report-images\report-images\66811147X	# Influence of canopy structure on light interception and productivity of greenhouse cucumber		Von der Naturwissenschaftlichen Fakultät der Gottfried Wilhelm Leibniz Universitat Hannover zur Erlangung des Grades	
G:\GitHub\report-images\report-images\7.WUR GTB Teelt & Gewasfysiologie 等 - 2022 - Efficiënte jaarrondteelt van bramen met LED	![](images/d22f1c7440bf0d1e470ee683c339b8d6ffb2822b9f43092e168404cfc28edc31.jpg)		# Efficiënte jaarrondteelt vlroengiga meex:p o2 sonuCr eh,i gt hhee r ptrebomdupcetriraotnu irnec,a r3e0as0 epdp emmv ehni gmheorr eeC. OT2h lee vngerlo aw met LED	
G:\GitHub\report-images\report-images\8.WUR GTB Tuinbouw Technologie 等 - 2022 - Komkommer in de winterlichtkas  Teeltresultaten 2017-2019	![](images/b8f8932e1370a9832ca52fcb80fda5de194df857a5bddbbf0abfe510352d354c.jpg)		# Komkommer in de Winterlichtkas	
G:\GitHub\report-images\report-images\838436420	# Architectural and Non-architectural Effects of Salinity on Canopy Structure, Light Interception and Dry Mass Production in Greenhouse Cucumber and Tomato		Von der Naturwissenschaftlichen Fakultat der Gottfried Wilhelm Leibniz Universitat Hannover	
G:\GitHub\report-images\report-images\862729998	# Modelling of Thermal Radiation Exchange at Glass-Covered Greenhouse Surfaces under Different Climatic Conditions		Von der Naturwissenschaftlichen Fakultat der Gottfried Wilhelm Leibniz Universität Hannover zur Erlangung des Grades	
G:\GitHub\report-images\report-images\869643029	# Entwicklung und Nutzung von Tageslicht- Pflanzenkuvetten als Untersuchungseinheit eines systemorientierten Ansatzes fur Niedrigenergiegewachshauser		Von der Naturwissenschaftlichen Fakultat der Gottfried Wilhelm Leibniz Universitat Hannover	
G:\GitHub\report-images\report-images\9.WUR GTB Tuinbouw Technologie 等 - 2022 - Met LED naar een perfecte chrysant teelt 16-19  Energiezuinige demonstratieteelten bij delphy impro	![](images/d459904218a75c44b10f94dec5d43567a892fdb4cda0a11e189d8e04e481af09.jpg)		# Met LED naar een Perfecte Chrysant Teelt 16-19	
G:\GitHub\report-images\report-images\ActaHort-humidity	# Effect of Ambient Humidity on Physiological Activities and Fruit Yield and Quality of Greenhouse Tomato		Article  in  Acta Horticulturae $\cdot \cdot$ September 2007	DOI: 10.17660/ActaHortic.2007.761.9
G:\GitHub\report-images\report-images\Al-Mahdouri 等 - 2013	# Evaluation of optical properties and thermal performances of different greenhouse covering materials		A. Al-Mahdouri a,⇑, M. Baneshi b, H. Gonome a, J. Okajima c, S. Maruyama c	
G:\GitHub\report-images\report-images\Al-Mahdouri 等 - 2014	# Theoretical and experimental study of solar thermal performance of different greenhouse cladding materials		A. Al-Mahdouri $^ { \mathrm { a , b , * } }$ , H. Gonome c, J. Okajima c, S. Maruyama c	
G:\GitHub\report-images\report-images\Animal Farming Systems 等 - 2023 - Financiële haalbaarheid tuinbouwreststromen als voer voor black soldier fly larven	![](images/251d010967836618ce82b58463fdea0af96387b20e30504283b4c17c177da4e1.jpg)		# Financiële haalbaarheid tuinbouwreststromen als voer voor Black Soldier Fly larven	
G:\GitHub\report-images\report-images\Bac-Molenaar 等 - 2024 - De klimaat- en risicobestendige kas  De “ETF-onE”	![](images/6d2d4b61f4e567a6ac4e8d4a64b535bf99f2490a862ca18ab47478b50a7e2aad.jpg)		# De klimaat- en risicobestendige kas	
G:\GitHub\report-images\report-images\Bakker_1991_Analysis of humidity effects on growth and production of glasshouse fruit	40951		# Analysis of humidity effects on growth and production of glasshouse fruit vegetables	
G:\GitHub\report-images\report-images\Balendonck 等 - 2024 - Ontwikkeling en evaluatie van een handzame nitraatmeter voor drainage- en oppervlaktewater in de gla	# Ontwikkeling en evaluatie van een handzame nitraatmeter voor drainageen oppervlaktewater in de glastuinbouw		J. Balendonck, E. A. van Os, J. Stoenner, F. Mondaca Duarte, J. van Nieuwstadt, Marco Hofman	
G:\GitHub\report-images\report-images\Baneshi et al_2020	# Wide-range spectral measurement of radiative properties of commercial greenhouse covering plastics and their impacts into the energy management in a greenhouse		Mehdi Baneshi a, \*, Hiroki Gonome b, Shigenao Maruyama c	
G:\GitHub\report-images\report-images\Biosystems_Engineering_Report_BLab-20241	# Biosystems Engineering Report BLab-20241		Rath T., Albers F., Akyazi G., Arlt L., Mentrup D.,Thurow T. Westerkamp C.	
G:\GitHub\report-images\report-images\blabtools20151-11-luftfeuchte	# BLab Tools 20151-11		Thomas Rath	
G:\GitHub\report-images\report-images\Boedijn 等 - 2024 - Meloen in de BEST-kas	![](images/f7525e0c5bb8acbc9f6b0dded59df8a7c2501638533d8956526c27573344eb7d.jpg)		# Meloen in de BEST-kas	
G:\GitHub\report-images\report-images\Campen_2009_Dehumidification of greenhouses	# Dehumidification of Greenhouses		# Jouke Berend Campen	
G:\GitHub\report-images\report-images\Campen和Stanghellini - 2024 - Morocco-netherlands centre of excellence in horticulture of agadir final report project MAS1MR01	![](images/f89aea30be223f0daf6965f729dbda3fdca67880024f635345d683240d868676.jpg)		# Morocco-Netherlands Centre of Excellence in Horticulture of Agadir	
G:\GitHub\report-images\report-images\Carpineti 等 - 2024 - Guidelines for cultivation in a vertical farm	![](images/ed6634f8018117fc8327d1f8ee91a78f0fa212c86ec86cb790b611611bcd62cc.jpg)		# Guidelines for cultivation in a vertical farm	
G:\GitHub\report-images\report-images\Chen 等 - 2016 - An automated	# An Automated and Continuous Plant Weight Measurement System for Plant Factory		Wei-Tai Chen, Yu-Hui F. Yeh, Ting-Yu Liu and Ta-Te Lin\*	
G:\GitHub\report-images\report-images\Coussement_A virtual tomato plant for optimising assimilation light in greenhouse cultivation	# A virtual tomato plant for optimising assimilation light in greenhouse cultivation		J. R. Coussement1a, R. Vanbeylen1b and K. Steppelc	
G:\GitHub\report-images\report-images\De Gelder 等 - 2023 - Perfecte chrysant met verrood koeler telen  Teelt 24-28 energiezuinige demonstratieteelten chrysant	![](images/54e47d43ca0e974ef4cc040e598b04ff2bdae55cb4d4dacf829c37fb50703955.jpg)		# Perfecte Chrysant met verrood koeler telen	
G:\GitHub\report-images\report-images\De Zwart 等 - 2023 - Crop transpiration and top-leaf temperature	![](images/23760ff20990641155761d16eb6077ac5bf7293b9ba3642c5c64eba717ef9c92.jpg)		# Crop transpiration and top-leaf temperature	
G:\GitHub\report-images\report-images\Detection of water content in tomato stems	# Detection of water content in tomato stems by electrical impedance spectroscopy: Preliminary study		Benhua Zhang a, Zhanwei Dong b, Xunan Sui b, Jiale Gao b, Longlong Feng b	
G:\GitHub\report-images\report-images\Dissertation Langner, Frederik	# Theoretische, messtechnische und anwendungsbezogene Bewertung von U'-bezogenen Energieverbrauchsberechnungen von Gewachshausern und deren Realisierung in einem Softwaresystem		Von der Naturwissenschaftlichen Fakultät der Gottfried Wilhelm Leibniz Universitat Hannover	
G:\GitHub\report-images\report-images\ecp19157054	# Greenhouses: A Modelica Library for the Simulation of aGndrQeueoinlinh,oSyulvsaien aCndl iLemoart,eViancnendt Energy Systems		Queralt Altes-Buch1\* Sylvain Quoilin1,2 Vincent Lemort1	
G:\GitHub\report-images\report-images\Effect of fruit ripeness on	# Effect of fruit ripeness on electrical impedance spectrum parameters		Longlong Feng , Jiale Gao , Xunan Sui , Tianhao Weng , Aiju Kong	
G:\GitHub\report-images\report-images\Electrochemical impedance spectroscopy	# Electrochemical impedance spectroscopy for pear ripeness detection and integration with robotic manipulators		Xunan Sui , Jiawen Zou , Zhonglin Geng , Hongjing Yang , Junming Hou , Longlong Feng	
G:\GitHub\report-images\report-images\green_light_a_neglected_colour_675953	# GREEN LIGHTANEGLECTED COLOURINPHOTOBIOLOGY		![](images/54880a0d52c6e1a51005795010464d9350d59d5c5d3ecd22741d548a2ccf9e2e.jpg)	
G:\GitHub\report-images\report-images\Henke - 2017 - Methodical and technical aspects of functional-structural plant modelling	# Methodical and technical aspects of functional-structural plant modelling		"Dissertation for the award of the degree ""Doctor rerum naturalium"" (Dr. rer. nat.) of the University of Gottingen"	
G:\GitHub\report-images\report-images\Heuvelink - 1996	# Tomato growth and yield: quantitative analysis and synthesis		E. Heuvelink	
